Week Ended,"Central Appalachia 12,500 Btu, 1.2 SO2","Northern Apppalachia 13,000 Btu, <3.0 SO2","Illinois Basin 11,800 Btu, 5.0 SO2","Powder River Basin 8,800 Btu, 0.8 SO2","Uinta Basin 11,700 Btu, 0.8 SO2"
2022-10-28,182.1,185.8,186.5,17.15,41.8
2022-10-21,176.65,180.25,186.5,17.45,41.95
2022-10-14,176.65,180.25,186.5,17.45,41.95
2022-10-07,204.95,187.55,196.75,16.25,42.4
2022-09-30,204.95,187.55,196.75,16.25,42.4
2022-09-23,198.85,181.95,196.75,16.15,42.55
2022-09-16,198.85,181.95,196.75,16.15,42.55
2022-09-09,192.9,176.5,196.65,16.2,42.7
2022-09-02,192.9,176.5,196.65,16.2,42.7
2022-08-26,187.15,145.85,189.7,16.25,42.85
2022-08-19,187.15,145.85,189.7,16.25,42.85
2022-08-12,181.55,141.5,186.5,16.3,43.0
2022-08-05,181.55,141.5,186.5,16.3,43.0
2022-07-29,177.3,142.55,183.5,16.55,41.5
2022-07-22,177.3,142.55,183.5,16.55,41.5
2022-07-15,177.3,142.55,183.5,16.55,41.5
2022-07-08,168.05,141.3,190.25,16.55,40.65
2022-07-01,168.05,141.3,190.25,16.55,40.65
2022-06-24,138.8,109.9,126.0,16.55,39.55
2022-06-17,138.8,109.9,126.0,16.55,39.55
2022-06-10,138.8,109.9,126.0,16.55,39.55
2022-06-03,129.65,102.0,122.75,15.45,37.1
2022-05-27,129.65,102.0,122.75,15.45,37.1
2022-05-20,125.8,98.95,122.75,15.5,37.25
2022-05-13,125.8,98.95,122.75,15.5,37.25
2022-05-06,119.3,96.0,119.0,15.55,37.4
2022-04-29,119.3,96.0,119.0,15.55,37.4
2022-04-22,117.05,94.85,117.85,15.7,36.55
2022-04-15,117.05,94.85,117.85,15.7,36.55
2022-04-08,106.15,92.0,109.55,16.1,36.35
2022-04-01,106.15,92.0,109.55,16.1,36.35
2022-03-25,97.3,81.8,97.0,16.75,33.3
2022-03-18,97.3,81.8,97.0,16.75,33.3
2022-03-11,93.4,79.55,92.5,16.75,32.95
2022-03-04,93.4,79.55,92.5,16.75,32.95
2022-02-25,90.55,73.35,75.5,21.65,29.35
2022-02-18,90.55,73.35,75.5,21.65,29.35
2022-02-11,89.7,73.35,75.5,23.9,29.35
2022-02-04,89.7,73.35,75.5,23.9,29.35
2022-01-28,89.7,73.35,75.5,23.9,29.35
2022-01-21,89.7,73.35,87.9,29.05,32.1
2022-01-14,86.55,70.8,86.55,28.05,31.0
2022-01-07,86.55,70.8,86.55,28.05,31.0
2021-12-31,92.5,74.2,44.55,30.1,33.15
2021-12-24,92.5,74.2,44.55,30.1,33.15
2021-12-17,92.5,74.2,44.55,30.1,33.15
2021-12-10,92.5,74.2,44.55,30.1,33.15
2021-12-03,92.5,74.2,44.55,30.7,33.0
2021-11-26,89.75,72.0,43.4,30.7,33.15
2021-11-19,89.75,72.0,43.4,30.7,33.15
2021-11-12,89.75,72.0,43.4,30.7,33.15
2021-11-05,79.05,67.15,39.65,14.4,31.0
2021-10-29,79.05,67.15,39.65,14.4,31.0
2021-10-22,75.5,64.4,36.25,13.25,30.05
2021-10-15,75.5,64.4,36.25,13.25,30.05
2021-10-08,75.5,64.4,36.25,13.25,30.05
2021-10-01,73.25,62.5,36.25,13.3,30.15
2021-09-24,71.05,60.65,36.25,13.35,30.25
2021-09-17,71.05,60.65,36.25,13.35,30.25
2021-09-10,65.8,58.85,35.9,13.35,30.25
2021-09-03,65.8,58.85,35.9,13.35,30.25
2021-08-27,63.85,56.75,35.25,11.9,29.5
2021-08-20,63.85,56.75,35.25,11.9,29.5
2021-08-13,61.95,55.05,35.1,11.95,30.3
2021-08-06,61.95,55.05,35.1,11.95,29.6
2021-07-30,61.95,55.05,35.1,11.95,29.6
2021-07-23,61.95,55.05,35.1,11.95,29.6
2021-07-16,61.95,55.05,35.1,11.95,29.6
2021-07-09,63.45,56.95,34.5,11.95,30.1
2021-07-02,60.1,53.4,35.1,11.7,29.7
2021-06-25,63.45,56.95,34.5,11.95,30.1
2021-06-18,61.55,55.25,34.5,12.0,30.2
2021-06-11,61.55,55.25,34.5,12.0,30.2
2021-06-04,61.55,55.25,34.5,12.0,30.2
2021-05-28,61.55,55.25,34.5,12.0,30.2
2021-05-21,59.7,53.6,34.5,12.05,30.3
2021-05-14,59.7,53.6,34.5,12.05,30.3
2021-05-07,59.7,53.6,34.5,12.05,30.3
2021-04-30,59.7,53.6,34.5,12.05,30.3
2021-04-23,59.7,52.0,34.5,12.1,30.4
2021-04-16,59.7,52.0,34.5,12.1,30.4
2021-04-09,59.7,52.0,34.5,12.1,30.4
2021-04-02,60.9,53.35,34.5,11.9,30.8
2021-03-26,60.9,53.35,34.5,11.9,30.8
2021-03-19,60.9,53.35,34.5,11.9,30.8
2021-03-12,59.1,51.75,34.5,11.95,30.9
2021-03-05,59.1,51.75,34.5,11.95,30.9
2021-02-26,57.35,50.2,34.25,12.0,31.0
2021-02-19,57.35,50.2,34.25,12.0,31.0
2021-02-12,55.65,48.7,34.25,11.3,31.1
2021-02-05,55.65,48.7,34.25,11.3,31.1
2021-01-29,54.0,47.25,34.25,11.35,31.25
2021-01-22,54.0,47.25,34.25,11.35,31.25
2021-01-15,55.1,45.85,34.25,11.4,31.4
2021-01-08,55.1,45.85,34.25,11.4,31.4
2021-01-01,54.35,45.15,34.1,11.55,29.85
2020-12-25,54.35,45.15,34.1,11.55,29.85
2020-12-18,54.35,45.15,34.1,11.55,29.85
2020-12-11,54.35,45.15,34.1,11.55,29.85
2020-12-04,54.35,45.15,34.1,11.55,29.85
2020-11-27,52.75,43.8,34.1,11.6,29.95
2020-11-20,52.75,43.8,34.1,11.6,29.95
2020-11-13,52.75,43.8,34.1,11.6,29.95
