Date,Price_oil,Price_natural_gas
2000-01-04,24.39,2.176
2000-01-05,23.73,2.168
2000-01-06,23.62,2.196
2000-01-07,23.09,2.173
2000-01-10,23.73,2.216
2000-01-11,24.62,2.26
2000-01-12,24.81,2.244
2000-01-13,24.98,2.252
2000-01-14,25.47,2.322
2000-01-17,25.65,NA
2000-01-18,26.05,2.383
2000-01-19,25.84,2.417
2000-01-20,26.1,2.559
2000-01-21,26.35,2.485
2000-01-24,26.06,2.528
2000-01-25,26.54,2.616
2000-01-26,26.13,2.523
2000-01-27,25.62,2.61
2000-01-28,25.68,2.532
2000-01-31,25.97,2.662
2000-02-01,26.39,2.699
2000-02-02,25.93,2.759
2000-02-03,26.66,2.659
2000-02-04,27.07,2.742
2000-02-07,26.88,2.562
2000-02-08,26.37,2.495
2000-02-09,26.92,2.54
2000-02-10,27.48,2.592
2000-02-11,27.82,2.57
2000-02-14,28.76,2.541
2000-02-15,27.13,2.618
2000-02-16,27.37,2.564
2000-02-17,26.67,2.667
2000-02-18,26.22,2.633
2000-02-21,25.93,NA
2000-02-22,26.58,2.515
2000-02-23,27.06,2.53
2000-02-24,27.37,2.549
2000-02-25,27.48,2.603
2000-02-28,27.41,2.686
2000-02-29,28.09,2.761
2000-03-01,29.06,2.815
2000-03-02,29.22,2.783
2000-03-03,28.99,2.825
2000-03-06,29.63,2.85
2000-03-07,31.9,2.799
2000-03-08,28.8,2.71
2000-03-09,29.29,2.786
2000-03-10,28.94,2.774
2000-03-13,28.89,2.86
2000-03-14,28.34,2.809
2000-03-15,27.53,2.866
2000-03-16,27.41,2.851
2000-03-17,26.56,2.785
2000-03-20,25.21,2.714
2000-03-21,25.72,2.751
2000-03-22,25.4,2.794
2000-03-23,25.48,2.847
2000-03-24,25.91,2.836
2000-03-27,25.68,2.914
2000-03-28,25.51,2.963
2000-03-29,24.4,2.9
2000-03-30,24.63,2.873
2000-03-31,24.77,2.945
2000-04-03,24.51,2.889
2000-04-04,23.65,2.822
2000-04-05,23.75,2.888
2000-04-06,23.45,2.956
2000-04-07,22.58,2.971
2000-04-10,21.3,2.971
2000-04-11,21.67,2.949
2000-04-12,23.12,3.021
2000-04-13,22.66,3.087
2000-04-14,22.41,3.078
2000-04-17,22.74,3.158
2000-04-18,23.05,3.098
2000-04-19,23.77,3.055
2000-04-20,23.83,3.073
2000-04-25,23.33,3.11
2000-04-26,22.98,3.089
2000-04-27,23.76,3.055
2000-04-28,23.89,3.141
2000-05-02,25.08,3.217
2000-05-03,25,3.126
2000-05-04,25.15,3.107
2000-05-05,25.29,3.025
2000-05-08,26.08,3.17
2000-05-09,26.82,3.183
2000-05-10,26.42,3.317
2000-05-11,27.45,3.352
2000-05-12,28.05,3.354
2000-05-15,28.33,3.396
2000-05-16,28.78,3.448
2000-05-17,27.89,3.689
2000-05-18,28.92,3.71
2000-05-19,28.59,3.825
2000-05-22,27.43,3.747
2000-05-23,27.5,3.814
2000-05-24,28.61,4.073
2000-05-25,29.19,4.236
2000-05-26,29.22,4.406
2000-05-30,28.96,4.354
2000-05-31,28.31,4.356
2000-06-01,29.19,4.064
2000-06-02,29.05,4.043
2000-06-05,28.37,4.398
2000-06-06,28.59,4.294
2000-06-07,29.22,3.945
2000-06-08,29.07,4.133
2000-06-09,29.58,4.16
2000-06-12,31.21,4.212
2000-06-13,31.49,4.158
2000-06-14,31.02,4.256
2000-06-15,31.26,4.463
2000-06-16,28.35,4.488
2000-06-19,27.98,4.063
2000-06-20,29.02,4.107
2000-06-21,29.33,4.378
2000-06-22,30.15,4.551
2000-06-23,30.39,4.448
2000-06-26,29.75,4.56
2000-06-27,30.24,4.686
2000-06-28,30.11,4.369
2000-06-29,30.8,4.423
2000-06-30,30.57,4.476
2000-07-03,31.1,NA
2000-07-04,29.58,NA
2000-07-05,29.38,4.109
2000-07-06,29.67,4.066
2000-07-07,29.7,4.262
2000-07-10,28.85,4.228
2000-07-11,29.22,4.257
2000-07-12,29.67,4.031
2000-07-13,30.26,4.166
2000-07-14,29.88,4.15
2000-07-17,28.56,4.002
2000-07-18,29.32,4.044
2000-07-19,28.88,3.884
2000-07-20,28.27,3.86
2000-07-21,27.52,3.834
2000-07-24,26.92,3.715
2000-07-25,26.94,3.66
2000-07-26,26.83,3.763
2000-07-27,27.15,3.82
2000-07-28,27.36,3.845
2000-07-31,26.93,3.774
2000-08-01,27.14,3.987
2000-08-02,27.59,4.214
2000-08-03,28.31,4.25
2000-08-04,29.37,4.296
2000-08-07,28.52,4.348
2000-08-08,28.9,4.409
2000-08-09,29.87,4.419
2000-08-10,30.88,4.468
2000-08-11,30.57,4.475
2000-08-14,31.48,4.318
2000-08-15,32.18,4.234
2000-08-16,32.53,4.413
2000-08-17,30.16,4.406
2000-08-18,30.44,4.436
2000-08-21,30.6,4.747
2000-08-22,29.93,4.52
2000-08-23,30.69,4.605
2000-08-24,30.35,4.54
2000-08-25,30.39,4.628
2000-08-29,31.36,4.618
2000-08-30,31.98,4.801
2000-08-31,31.72,4.782
2000-09-01,31.85,4.835
2000-09-04,32.84,NA
2000-09-05,32.98,4.95
2000-09-06,34.28,5.071
2000-09-07,34.55,4.998
2000-09-08,32.78,4.88
2000-09-11,33.62,5.011
2000-09-12,32.48,5.008
2000-09-13,31.53,5.055
2000-09-14,31.94,5.195
2000-09-15,33.98,5.206
2000-09-18,34.46,5.295
2000-09-19,33.63,5.363
2000-09-20,33.74,5.318
2000-09-21,32.73,5.287
2000-09-22,31.25,5.131
2000-09-25,30.24,5.276
2000-09-26,30.42,5.324
2000-09-27,30.54,5.312
2000-09-28,29.26,5.124
2000-09-29,29.84,5.186
2000-10-02,31.08,5.352
2000-10-03,31.05,5.348
2000-10-04,30.52,5.29
2000-10-05,29.89,5.152
2000-10-06,30.1,5.008
2000-10-09,30.76,5.15
2000-10-10,31.85,5.134
2000-10-11,31.79,5.508
2000-10-12,34.59,5.63
2000-10-13,32.52,5.537
2000-10-16,31.9,5.364
2000-10-17,31.13,5.439
2000-10-18,31.1,5.228
2000-10-19,30.74,4.951
2000-10-20,31.62,4.937
2000-10-23,32.09,5.072
2000-10-24,31.59,4.82
2000-10-25,31.36,4.659
2000-10-26,31.96,4.664
2000-10-27,30.95,4.541
2000-10-30,31.14,4.485
2000-10-31,30.76,4.49
2000-11-01,31.31,4.686
2000-11-02,30.78,4.76
2000-11-03,30.85,4.931
2000-11-06,31.29,4.849
2000-11-07,31.68,5.081
2000-11-08,31.32,5.338
2000-11-09,32.16,5.445
2000-11-10,32.02,5.456
2000-11-13,32.94,5.698
2000-11-14,32.69,6.016
2000-11-15,33.9,6.265
2000-11-16,32.77,5.798
2000-11-17,33.08,6.1
2000-11-20,33.07,6.249
2000-11-21,33.1,6.408
2000-11-22,33.24,6.577
2000-11-23,33.28,NA
2000-11-24,33.12,NA
2000-11-27,33.06,6.368
2000-11-28,32.19,6.016
2000-11-29,32.68,6.181
2000-11-30,31.88,6.589
2000-12-01,30.17,6.673
2000-12-04,29.34,7.433
2000-12-05,27.79,7.384
2000-12-06,28.01,8.485
2000-12-07,27.47,8.373
2000-12-08,26.56,8.584
2000-12-11,27.54,9.413
2000-12-12,27.06,8.145
2000-12-13,25.14,7.537
2000-12-14,25.36,7.413
2000-12-15,25.89,8.396
2000-12-18,26.24,8.527
2000-12-19,25,9.102
2000-12-20,22.97,9.326
2000-12-21,23.61,9.83
2000-12-22,23.66,9.579
2000-12-27,24.04,9.978
2000-12-28,23.71,9.263
2000-12-29,23.87,9.775
2001-01-02,24.3,8.364
2001-01-03,25.03,8.189
2001-01-04,25.35,8.966
2001-01-05,25.18,9.261
2001-01-08,24.43,9.689
2001-01-09,24.59,9.819
2001-01-10,25.34,9.128
2001-01-11,25.61,8.708
2001-01-12,25.75,8.472
2001-01-15,26.18,NA
2001-01-16,26.2,8.103
2001-01-17,24.79,6.909
2001-01-18,25.62,7.136
2001-01-19,27.04,7.459
2001-01-22,26.53,7.457
2001-01-23,26.67,6.946
2001-01-24,26.26,7.115
2001-01-25,26.46,7.27
2001-01-26,26.98,7.256
2001-01-29,26.6,6.293
2001-01-30,26.89,6.097
2001-01-31,26.66,5.707
2001-02-01,28.1,6.38
2001-02-02,29.19,6.743
2001-02-05,28.45,5.706
2001-02-06,28.7,5.764
2001-02-07,29.91,6.235
2001-02-08,29.84,6.158
2001-02-09,29.25,6.21
2001-02-12,29,5.821
2001-02-13,28.46,6.019
2001-02-14,27.28,5.518
2001-02-15,26.64,5.594
2001-02-16,26.89,5.568
