Entity,Code,Year,Price_coal
US Central Appalachian coal spot price index (BP),,2001,50.1546516418457
US Central Appalachian coal spot price index (BP),,2002,33.19798278808594
US Central Appalachian coal spot price index (BP),,2003,38.522705078125
US Central Appalachian coal spot price index (BP),,2004,64.90174102783203
US Central Appalachian coal spot price index (BP),,2005,70.12235260009766
US Central Appalachian coal spot price index (BP),,2006,57.816715240478516
US Central Appalachian coal spot price index (BP),,2007,49.73318099975586
US Central Appalachian coal spot price index (BP),,2008,117.41764068603516
US Central Appalachian coal spot price index (BP),,2009,60.73461151123047
US Central Appalachian coal spot price index (BP),,2010,67.8741226196289
US Central Appalachian coal spot price index (BP),,2011,84.7549819946289
US Central Appalachian coal spot price index (BP),,2012,67.28136444091797
US Central Appalachian coal spot price index (BP),,2013,69.71723175048828
US Central Appalachian coal spot price index (BP),,2014,67.08414459228516
US Central Appalachian coal spot price index (BP),,2015,51.56644058227539
US Central Appalachian coal spot price index (BP),,2016,51.447731018066406
US Central Appalachian coal spot price index (BP),,2017,63.82529067993164
US Central Appalachian coal spot price index (BP),,2018,72.84400939941406
US Central Appalachian coal spot price index (BP),,2019,57.16398239135742
US Central Appalachian coal spot price index (BP),,2020,42.7663688659668
US Central Appalachian coal spot price index (BP),,2021,68.53813934326172
