"State","Abbrev","Code","Coal_Region"
"Alabama","Ala.","AL","ILB_CAP"
"Alaska","Alaska","AK", "ALL"
"Arizona","Ariz.","AZ", "UIB"
"Arkansas","Ark.","AR", "ILB"
"California","Calif.","CA","UIB_PRB"
"Colorado","Colo.","CO","UIB"
"Connecticut","Conn.","CT", "NAP"
"Delaware","Del.","DE","NAP"
"District of Columbia","D.C.","DC","NAP"
"Florida","Fla.","FL","ILB_CAP"
"Georgia","Ga.","GA","ILB_CAP"
"Hawaii","Hawaii","HI","All"
"Idaho","Idaho","ID","UIB_PRB"
"Illinois","Ill.","IL","ILB"
"Indiana","Ind.","IN","ILB"
"Iowa","Iowa","IA", "ILB_PRB"
"Kansas","Kans.","KS","UIB_ILB"
"Kentucky","Ky.","KY","CAP"
"Louisiana","La.","LA","ILB"
"Maine","Maine","ME","NAP"
"Maryland","Md.","MD","NAP"
"Massachusetts","Mass.","MA","NAP"
"Michigan","Mich.","MI","ILB"
"Minnesota","Minn.","MN","ILB_PRB"
"Mississippi","Miss.","MS","ILB"
"Missouri","Mo.","MO","ILB"
"Montana","Mont.","MT", "PRB"
"Nebraska","Nebr.","NE", "PRB"
"Nevada","Nev.","NV","UIB_PRB"
"New Hampshire","N.H.","NH","NAP"
"New Jersey","N.J.","NJ","NAP"
"New Mexico","N.M.","NM","UIB"
"New York","N.Y.","NY","NAP"
"North Carolina","N.C.","NC","CAP"
"North Dakota","N.D.","ND","PRB"
"Ohio","Ohio","OH","CAP_NAP"
"Oklahoma","Okla.","OK","UIB_ILB"
"Oregon","Ore.","OR","UIB_PRB"
"Pennsylvania","Pa.","PA","NAP"
"Rhode Island","R.I.","RI","NAP"
"South Carolina","S.C.","SC","CAP"
"South Dakota","S.D.","SD","PRB"
"Tennessee","Tenn.","TN","CAP"
"Texas","Tex.","TX","UIB_ILB"
"Utah","Utah","UT","UIB"
"Vermont","Vt.","VT","NAP"
"Virginia","Va.","VA","CAP_NAP"
"Washington","Wash.","WA","UIB_PRB"
"West Virginia","W.Va.","WV","CAP_NAP"
"Wisconsin","Wis.","WI","ILB"
"Wyoming","Wyo.","WY","PRB"
